degree,specialization,skills,cgpa,certificate,job_role
BE,Structural Engineeeing ,"Active Listening;Critical Thinking;Analytical Skills;People management;Communication skills;Leadership;Problem Solving skills;Designing skills;Proeficiency in Software like STAAD PRO, ETABS ",74.33,No,Assistant Professor
M.Tech,Mining,Hardware skills,92,No,Mine Engineer
B.Tech,Mechanical Engineering,"Proeficiency in Software like STAAD PRO, ETABS;CAD/CAE(autocad/catia/ansys/proE/SeimensNX)",73.15,Yes,Mechanical Design Engineer
B.Com,Accountancy ,Accounting Skills;Active Listening;Critical Thinking;Gathering Information;Business Knowledge;Analytical Skills;Finance related skills;People management;Communication skills;Negotiation skills;Mass Communication;Leadership;Product knowledge;Problem Solving skills;Risk management skills;Data Visualization skills( Power Bi/ Tableau );Sales;Interpersonal skills;Wealth Management,80,No,Finance Manager
BCA,"C,c++, java",Active Listening;Teaching,69,No,Teaching
B.Tech,Civil Engineering,Business Knowledge;Civil & Criminal Law;Product knowledge,74.955,No,National Head 
B.Tech,Mechanical Engineering,Critical Thinking;Problem Solving skills;Designing skills;Interpersonal skills;Python,73.15,Yes,Field Engineer
BBA,Management,Strategic Planning;Financial Analysis;Financial Modeling;Marketing Strategy;Financial Services,73.625,Yes,Investment Banking Associate
BE,Automobile Engineering,"Business Knowledge, People Management, Communication Skills, Work under Pressure, Leadership, Market Study, Team work, Interpersonal Skills, Presentation Skills, Designing Skills, Sales, Design and analysis of automobile components, vehicle maintenance and reconditioning, design for manufacturer and assemble",84.55,Yes,Sales Executive
BE,Electronics and Communication Engineering,"Creativity Skills, Excel, Logical Skills, Observation Skills, Risk Managing, Designing Skills, Vlsi design,simulation,embedded,IOT",81.795,Yes,VLSI Digital Design
B.Tech,Computer Science Engineering,"Python, Critical Thinking, Analytic Thinking, Java, SQL, Programming, Communication Skills, Negotiation Skills, Creativity Skills, Excel, Logical Skills, Interpersonal Skills, Presentation Skills, C++",75.05,No,Production manager
BE,Electronics and Communication Engineering,NO,66.5,No,Software Developer
B.Com,Sales and marketing,Active Listening;Business Knowledge;Communication skills;Negotiation skills;Leadership;Product knowledge;Problem Solving skills;Sales;Interpersonal skills,55,No,Life insurance
B.Tech,Computer Science Engineering,NO,76,No,Developer
B.Tech,Computer Science Engineering,Business Knowledge;Analytical Skills;Negotiation skills;Problem Solving skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;SQL,76.475,No,Full stack developer 
B.Pharmacy,Pharmacy,"Active Listening, Creativity Skills, Team work, Logical Skills",72,No,Process analyst
B.Com,Commerce,"Accounting Skills, Cost Accounting",51.3,Yes,Housewife
B.Sc,Interior design,Programming Language skills;People management;Mass Communication;Leadership;Designing skills;Writing skills;Architecture,74,No,Junior interior designer 
B.Com,Commerce,"Business Knowledge, Product Knowledge, Team work, Sales",57,No,Tele-caller
B.Tech,Information Technology,"Gathering Informing, People Management, Communication Skills, Work under Pressure, Leadership, Team work, Interpersonal Skills, Mass Communication, Observation Skills, Risk Managing",65.55,Yes,HR
B.Sc,Chemistry,Sports,74.1,Yes,Pc
Bca,Computer Applications,"AI, ML, Python, Java, SQL, Tableau",76,Yes,Student (Unemployed)
BE,Automobile Engineering,"Critical Thinking, Analytic Thinking, Product Knowledge, Team work, Excel, Observation Skills, Risk Managing, Reporting, Reading, Designing Skills",76,No,Design engineer
B.Tech,Electrical and Electronics Engineering,"
Docker;Kubernetes;Amazon Web Services (AWS);Bash;Apache;
New Relic APM;Jenkins;Internet Information Services (IIS);Terraform;AKS;Continuous Integration and Continuous Delivery (CI/CD);Amazon EC2",74.67,Yes,DevOps Engineer
B.Tech,Computer Science Engineering,"Full stack, java, python, reactjs",74.1,Yes,Software developer
BE,Mechanical Engineering,Active Listening;Analytical Skills;Negotiation skills;Product knowledge;Problem Solving skills;Risk management skills;Machine Learning skills;Python,88.35,Yes,Production Engineer
B.Tech,Computer Science Engineering,"Web development (PHP, codeigniter), java development, graphic desiging, Android app development",73.15,Yes,Software engineer 1
B.Com,Commerce ,Accounting Skills;Active Listening;Critical Thinking;Gathering Information;Artistic/Creative Skills;Business Knowledge;Communication skills;Social Media Marketing,63,Yes,Sales manager
B.Sc,Physics,"Accounting Skills, Active Listening, AI, Python, Critical Thinking, Programming, Product Knowledge, Creativity Skills, Team work, Excel, Logical Skills, Presentation Skills, Problem Solving skills, Observation Skills, Risk Managing, Reading",68.685,Yes,Student (Unemployed)
B.Tech,Mechanical Engineering,CAD/CAE(autocad/catia/ansys/proE/SeimensNX),74.1,Yes,Mechanical Design Engineer
M.Tech,Electronics and Communication Engineering,Programming Language skills;Analytical Skills;Communication skills;Leadership;Editing;Problem Solving skills;Designing skills;Writing skills;Machine Learning skills;Sales;Social Media Marketing;R;Python;Artificial Intelligence;SQL;Architecture;MATLAB;Good communication skills;Teaching;AWS;PHP;Programming Language C;Javascript,87,Yes,Junior Software Engineer 
B.Tech,Computer Science Engineering,"Python, Java, SQL, Programming, Problem Solving skills",69,No,Mapping 
B.Sc,Information TechNAlogy,"Active Listening, AI, ML, Python, Analytic Thinking, Editing, Creativity Skills, Team work, C++, Problem Solving skills, Mass Communication",89.87,Yes,Student (Unemployed)
BE,Industrial Engineering ,Critical Thinking;Gathering Information;Business Knowledge;Analytical Skills;Finance related skills;People management;Civil & Criminal Law;Communication skills;Negotiation skills;Leadership;Product knowledge;Problem Solving skills;Risk management skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;Interpersonal skills;Python;SQL,72,No,Functional Consultant 
B.Tech,Mechanical Engineering,Business Knowledge;Negotiation skills;Product knowledge;Sales,60.8,Yes,Associate SCM 
Diploma,High pressure die casting ,Designing skills,70,Yes,Engineer
B.Com,Accounting&Finance,Company Law;Company Secretarial Work;Due Diligence;Corporate Law;industrial and labour law;company law;Corporate Social Responsibility;Public Company Compliance;Statutory Compliances;Regulatory Compliance,83.03,Yes,Company Secretary
B.Tech,Computer Science Engineering ,Active Listening;Programming Language skills;Communication skills;Client management;Good communication skills,68.02,No,Programmer Analyst Trainee (PAT)
B.Tech,Computer Science Engineering,Active Listening;Programming Language skills;Gathering Information;Mass Communication;Content creation,68.4,Yes,Programmer
B.E,Information Technology,"Analytic Thinking, Gathering Informing, SQL, Risk Managing",76,No,Risk analyst 
B.Tech,Mathematics,"Analytic Thinking, Logical Skills, C++, Writing",71.25,No,Student (Unemployed)
BCA,Computer Applications,Active Listening;Negotiation skills,71.25,No,Data Entry
B.Tech,Information Technology,"Java, SQL, Programming",76,No,Student (Unemployed)
B.Tech,Electrical and Electronics Engineering,stack web development,78.85,Yes,Associate software engineer
BE,Electrical and Electronics Engineering,Programming Language skills;Business Knowledge;Analytical Skills;Communication skills;Python;SQL,73.53,Yes,Data Scientist-Intern
B.Tech,Computer Science Engineering,Programming Language skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;C++;R;Linux;Python;Artificial Intelligence;SQL;Java,73.625,Yes,Data Analyst 
MBA,Sales and Marketing,Business Knowledge;People management;Communication skills;Product knowledge;Sales;Social Media Marketing,72,No,Regional Sales Manager
B.Tech,Civil Engineering,"Agile Methodologies;Usability Testing;C++;Microsoft OfficeBentley InRoadsProduct Requirements;User Stories;Metrics;Product Management;Product Innovation;User Experience (UX);Research;Business Development;Digital Marketing;
",72.675,Yes,Product Manager
B.Tech,Electrical and Electronics Engineering,"
Power Electronics;Simulink;Inverters;Matlab;PLC;Variable Frequency Drives;Switchgear;Industrial Control",79.8,Yes,Engineer-Power Electronics
B.Sc,Computer science ,Programming Language skills;People management;Communication skills;Editing;C++;SQL,78,Yes,Publishing executive
B.Tech,Computer Science Engineering ,Active Listening;Hardware skills;Programming Language skills;Critical Thinking;Gathering Information,71,No,Senior software engineer
B.Tech,Computer Science Engineering,Analytical Skills;Machine Learning skills;Python;Artificial Intelligence;SQL,85,Yes,Techno commercial
Law Hons  ,Statistics,Active Listening;People management;Civil & Criminal Law;Negotiation skills;Machine Learning skills,61.4,No,Advocate 
B.Tech,Criminal manual,"Analytic Thinking, Product Knowledge, Team work, Logical Skills",68.4,No,Sales Executive
B.Tech,Electrical and Electronics Engineering,Accounting Skills;Active Listening;Communication skills;Product knowledge;Problem Solving skills,52,No,Electrician
BE,Electrical and Electronics Engineering,Programming Language skills;Critical Thinking;Analytical Skills;Problem Solving skills;Python;Medical knowledge;MATLAB;Teaching,62.26,No,Assistant Professor
B.Tech,Mechanical Engineering,Business Knowledge;Analytical Skills;Finance related skills;Problem Solving skills;Risk management skills;Presentation Skills,80.75,Yes,Project Manager
B.Tech,Electrical and Electronics Engineering,Analytical Skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;Social Media Marketing;R;Python;Artificial Intelligence,63.9,Yes,Mechanical design engineer 
B.Tech,Mechanical engineering ,C++;Hadoop;Java;SQL;Core Java;JavaScript;PL/SQL;Informatica,80.37,Yes,System Engineer
B.Com,Computer Science Engineering,Accounting Skills,91.2,No,Student (Unemployed)
B.E,Accountancy,"Active Listening, Python, Gathering Informing, Programming",88.35,Yes,Mechanical Engineer
Law Hons,Agriculture,Accounting Skills;Finance related skills;Civil & Criminal Law;Negotiation skills;Risk management skills,67,Yes,CS
B.Tech,Company law,"JavaScript,Python",73.15,Yes,Software Developer
B.Tech,Physics,Javascript,65.55,Yes,Associate Software Engineer
B.Tech,Computer Science Engineering,Python,70.3,No,Student (Unemployed)
B.Tech,Computer Applications,Hardware skills;Programming Language skills;Communication skills;Problem Solving skills;Risk management skills;Writing skills;Presentation Skills;Linux;Python;Java;Cloud Computing,71.25,No,Software Engineer
B.Com,Computer Science Engineering,"
Teamwork;Time Management;Company Secretarial Work;Legal Compliance;Communication;TeamLeadership;Interpersonal Skills;Presentations;Interpersonal Communication;Companies Act;Indirect Taxation",67.45,Yes,Company Secretary
B.Tech,Accounting&Finance,Accounting Skills;Active Listening;Critical Thinking;Analytical Skills;People management;Communication skills;Problem Solving skills;Python;Teaching,80.275,Yes,Operation & Maintenance Engineer 
BBA,Electrical Machines,Financial Modeling;Financial Analysis;,84.55,Yes,Financial Analyst
B.Tech,Finance,"
Microbiology; cell culture ;molecular Biology; bioprocess;
Katte virus",83.22,Yes,Research Associate
B.E,Biotechnology,"Analytic Thinking, SQL, Oracle, Communication Skills, Work under Pressure, Leadership, Excel, Interpersonal Skills, Problem Solving skills, Reporting",88.16,Yes,Data Analyst
B.Com,Automobile Engineering,Cloud Computing,47,Yes,Trainee Developer
B.Com,Accountancy,Accounting Skills,76,No,Student (Unemployed)
B.Tech,Data Structures & Algorithm,Gathering Informing,73.15,Yes,Student (Unemployed)
Biotechnology,Biotechnology,"Active Listening, Critical Thinking, Analytic Thinking, Negotiation Skills, Presentation Skills, Problem Solving skills, Writing, Observation Skills, Subject Knowledge",87,No,Student (Unemployed)
B.Com,Commerce,"Accounting Skills, Cost Accounting, Excel, Writing",67.45,No,Student (Unemployed)
B.Com,Commerce,Accounting Skills,77,Yes,Business Analyst
B.M.S,ManagementÃ,"Business Knowledge, Communication Skills, Negotiation Skills, Work under Pressure, Leadership, Creativity Skills, Market Study, Excel, Writing, Reading, Sales",0,No,Sr. Territory sales manager 
B.Tech,Computer Science Engineering,Java backend development; c; c++; problem solving skills; jdbc programming ;object oriented programming; string stringbuffer and stringbuilder in Java ;design and prototype in Adobe XD ;hTML; CSS;JavaScript for web developers; responsive web design,84.55,Yes,Full Stack Developer
BALLB,Law,Civil & Criminal Law,74.1,Yes,Lawyer-Forensic Investigations
B.Tech,Mechanical Engineering,Accounting Skills;Active Listening;Programming Language skills;Gathering Information;Wealth Management;Content creation,53,No,Assistent Manger
B.Sc,Computer Science Engineering,"Active Listening, Critical Thinking, SQL, Leadership, Editing, Creativity Skills, Team work, Excel, Logical Skills, Problem Solving skills, Designing Skills",83,No,Student (Unemployed)
Law Hons,constitution,Civil & Criminal Law,73,No,litigation
B.Tech,Civil Engineering,"Proeficiency in Software like STAAD PRO, ETABS",83.41,Yes,Civil & Structural Engineer
B.Sc,Microbiology,"Leadership, Team work, Presentation Skills, Writing, Observation Skills, Designing Skills",83.6,No,Student (Unemployed)
B.Tech,Electrical and Electronics Engineering,"ML, SQL, Leadership, Writing, Tableau",60.8,Yes,Student (Unemployed)
B.Sc,Biotechnology,"AI, ML, Python, Critical Thinking, Analytic Thinking, Artistic skills, Work under Pressure, Team work, Logical Skills, Presentation Skills",70,Yes,Scientist
BE,Business Administration,"Active Listening, Leadership, Market Study, Team work, Mass Communication, Writing, Reading, Sales",68.4,Yes,Mechanical Engineer
BBA,Commerce,Finance related skills;People management;Communication skills;Leadership;Sales;Social Media Marketing,67,No,Business
B.Tech,Electronics & Telecom.,Programming Language skills;Analytical Skills;C++;Linux;SQL;Java;Cloud Computing,66.5,Yes,Software Engineer 
Diploma,Electrical and Electronics Engineering,Active Listening,62.985,No,Supply Chain
BE,Electronics and Communication Engineering,Active Listening;People management;Leadership;Cloud Computing,59,Yes,Associate IT consultant
BA,History ,Hardware skills;Leadership;Designing skills,64,No,Buliding management system 
B.Tech,Computer Science Engineering,Active Listening;Programming Language skills;Critical Thinking;Communication skills;Java;Cloud Computing,66.5,Yes,Sales force 
BE,Thermal engineering,Active Listening;Gathering Information;Analytical Skills;Leadership;Machine Learning skills;Interpersonal skills;Medical knowledge,66.88,No,Deputy warden
B.Tech,Electrical and Electronics Engineering,"AI, ML, Python, Analytic Thinking, SQL, Programming, C++",66.5,Yes,Student (Unemployed)
B.Tech,Civil Engineering,Gathering Information;Finance related skills;Civil & Criminal Law,66,No,Teacher
B.Tech,Electronics and Communication Engineering,"Active Listening,Work under Pressure,Team work,Presentation skills,Reading",65.55,No,Teaching
B.Tech,Computer Science Engineering,Bootstrap;Node.js;Angular;JIRA;TRELLO;Jquery;Javascript;Ajax;PHP;Codeignitor;Loopback;,72.2,Yes,Web Developer
Bachelor of Management Studies,Business Administration,"Business Knowledge, People Management, Communication Skills, Logical Skills, Problem Solving skills, Reading, Sales",61.56,No,Business Consultant 
B.Sc,Math,Teaching experience,60,No,Teaching experience 5 years
B.Sc,Biotechnology,Active Listening;Critical Thinking;Business Knowledge;People management;Communication skills;Leadership;Problem Solving skills;Risk management skills;Writing skills;Hospitality;Client management;Good communication skills,61.75,Yes,Asst. Manager 
Diploma in pharmacy ,Hospitality,"Accounting Skills, Business Knowledge, Editing, Excel, Designing Skills, Sales",84.55,Yes,Medical Practitioner
B.Sc,Physics,Accounting Skills;Critical Thinking;Gathering Information;Artistic/Creative Skills;Analytical Skills,67,No,Sub Editor
B.Tech,Biotechnology,Polymerase Chain Reaction (PCR);Molecular Biology;Life Sciences;Molecular Biology protein purification;protein chemistry;Protein Assays;Protein Electrophoresis;Protein Chromatography;Western Blotting;Protein Structure Prediction;Protein Kinases; Protein structure ;protein characterization ;protein engineering,70.015,Yes,"
Research Associate"
B.Sc,Information Technology,Active Listening;Critical Thinking,70,Yes,Se
B.Sc,Mathematics,"Communication Skills, Leadership, Problem Solving skills, Subject Knowledge",75.05,No,Student (Unemployed)
B.Tech,BiotechNAlogy,"
Phytochemistry;Metabolomics;Protein Expression;PCR;Molecular Biology;Life Sciences;Polymerase Chain Reaction (PCR);DNA;Biochemistry;Bioinformatics;Cell Culture;Protein Purification;Chemometrics",84.075,Yes,Assistant Professor
B.Sc,Zoology,"Business Knowledge, Communication Skills, Observation Skills",72.2,Yes,Student (Unemployed)
Bachelor of journalism,PR,Artistic/Creative Skills;Mass Communication,64,No,Sub-editor
B.Tech,Information TechNAlogy,Leadership;R;Python;SQL,54.44,Yes,Maths Content Developer 
B.Sc,Statistics,"Python, Critical Thinking, Analytic Thinking, Work under Pressure, Creativity Skills, Team work, Derivatives, Excel, Logical Skills, Interpersonal Skills, Observation Skills",74.86,No,Student (Unemployed)
BBA,Human Resource,Active Listening;Finance related skills;People management;Communication skills;Negotiation skills;Interpersonal skills;HR,76.95,Yes,HR executive
B.Tech,Civil Engineering,Active Listening;Hardware skills;Critical Thinking;Gathering Information;Artistic/Creative Skills;Business Knowledge,71,No,Civil engineer
B.Sc,Mathematics,"Team work, Logical Skills, Writing",80.655,No,Student (Unemployed)
MBA,Marketing,Accounting Skills;Artistic/Creative Skills;Business Knowledge;Finance related skills;People management;Communication skills;Negotiation skills;Leadership;Problem Solving skills;Risk management skills;Sales;Client management,69,Yes,Mahindra and Mahindra financial services limited
B.Tech,Electrical and Electronics Engineering,"Python, Java",78.85,Yes,R&D Engineer
B.Tech,Mechanical Engineering,"Excel, Interpersonal Skills, Presentation Skills, Subject Knowledge",65,No,Mechanical Engineer
B.Tech,Computer Science Engineering,"Programming Language skills;Communication skills;Leadership;Problem Solving skills;Linux;SQL;Good communication skills;Foreign languages french, Spanish",84.55,No,Associate Consultant
B.Com,Accountancy,Accounting Skills,38,No,Student (Unemployed)
B.Tech,Computer Science and Engineering,NO,76,No,Software Developer
B.Tech,Electronics and Communication Engineering,"Python, Editing, Team work, Problem Solving skills, Writing",74.3,Yes,Student (Unemployed)
B.Tech,Electronics and Communication Engineering,"Python, SQL, Work under Pressure",57.57,Yes,Student (Unemployed)
B.Tech,Electronics and communication engineering,NO,76,No,Junior programmer
B.Tech,Mechanical Engineering,Diploma in visual effects,73.15,Yes,Vfx artist
B.Tech,Civil engineering,"Civil & Criminal Law, Communication Skills, Sales",74.67,No,Student (Unemployed)
B.Tech,Mechanical Engineering,NO,73.15,No,logical trainee associate
B.E,Automobile Engineering,"Python, Java, SQL, Oracle, Programming, Team work, Linux, Problem Solving skills, Subject Knowledge",83.6,Yes,PLM CONSULTANT 
BE,Mechanical Engineering,Communication skills,71.82,Yes,Quality Engineer
BE,Mechanical ,Designing skills,68.4,No,Design engineer 
BBA,Business Administration,"Business Knowledge, People Management, Negotiation Skills, Work under Pressure, Leadership, Creativity Skills, Logical Skills, Interpersonal Skills, Problem Solving skills",87.4,No,Student (Unemployed)
B.Tech,Computer Science Engineering,Critical Thinking;Artistic/Creative Skills;Leadership;Product knowledge;Problem Solving skills;Designing skills,61.75,Yes,UX designer 
BBA,Human resources ,Accounting Skills;Business Knowledge;People management;Communication skills;Product knowledge;Data Visualization skills( Power Bi/ Tableau );SQL;HR;Good communication skills,50.635,No,Swimming coach
B.Sc,Computer Science Engineering,"Accounting Skills, Business Knowledge, Programming, People Management, Leadership, Creativity Skills, Team work, Excel, Presentation Skills, Problem Solving skills, Reporting",58,Yes,Office assistant and acoounts
BCA,Computers Science,Active Listening;Programming Language skills;Critical Thinking;Gathering Information;Artistic/Creative Skills;Communication skills;Problem Solving skills;Designing skills;Writing skills;C++;Presentation Skills;Linux;Artificial Intelligence;SQL;Content creation;Java;Cloud Computing,76.89,Yes,Software Programmer
B.Sc,Statistics ,Accounting Skills;Active Listening;Programming Language skills;Critical Thinking;Gathering Information;Analytical Skills;Finance related skills;Civil & Criminal Law;Communication skills;Problem Solving skills;Risk management skills;Designing skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;Sales;Social Media Marketing;Interpersonal skills;Presentation Skills;R;Python;SQL;Content creation;Java;Cloud Computing;Architecture,66,Yes,Assistant System Engineer 
BCA,MCA,Programming Language skills;Python;SQL;Java;AWS;Javascript,74.29,No,Back-end Developer 
B.Tech,Mechanical Engineering,Critical Thinking;People management;Communication skills;Negotiation skills;Client management;Refinery Operations,80.75,Yes,Maintenance Engineer-Mechanical
B.Tech,Civil Engineering,"Analytic Thinking, People Management, Creativity Skills, Excel, Reading",76,Yes,Planning manager
BE,Mathematics,Programming Language skills;Critical Thinking;Editing,63.65,Yes,Operator
BE,Automobile Engineering,Gathering Information;People management;Communication skills;Product knowledge;Problem Solving skills;Java;Client management;Good communication skills,67.45,No,Associate Software Engineer
B.Sc,Microbiology,"Protein expression ;protein purification; Molecular Biology; biochemistry; protein chemistry ;western blotting ;cell culture; cell biology; bioinformatics;
Polymerase Chain Reaction (PCR) ;molecular cloning; microscopy;
Chromatography;
Enzyme Kinetics;
Biophysics electron microscopy;
Cryo-EM;X-ray crystallography;
Static Light Scattering;chromatrography",84.265,Yes,Research Associate
B.Tech,Computer Science Engineering,Communication skills;Writing skills;C++;Python;SQL;Java,79,No,Associate consultant
B.Tech,Computer science ,Programming Language skills;Problem Solving skills,87.685,No,Associate technology l2
BA,General,Active Listening;Hardware skills;Communication skills;Negotiation skills,72,No,Lab assistent
B.Tech,Computer Science Engineering,Critical Thinking;Finance related skills;People management;Communication skills;Leadership;Designing skills;Social Media Marketing,80.655,No,Test engineer
B.Tech,Civil Engineering,"Proeficiency in Software like STAAD PRO, ETABS",65.55,Yes,Civil & Structural Engineer
B.Tech,Civil Engineering,"Active Listening;Critical Thinking;Gathering Information;Analytical Skills;Finance related skills;Proeficiency in Software like STAAD PRO, ETABS;Good communication skills;SAP",77.615,Yes,Civil & Structural Engineer
B.Sc,Physics,"Business Knowledge, Sales",74.1,No,Teacher
B.Tech,Mechanical Engineering,"AI, ML, Python, SQL, Negotiation Skills, Work under Pressure, Leadership, News Gathering, Editing, Market Study, Team work, Derivatives, Excel, Tableau, CATIA , ANSYS ,SOLIDWORKS,CAESAR 2",67.545,Yes,Mechanical Engineer
B.Tech,Mechanical Engineering,"Business Knowledge, Leadership, Market Study",80.75,No,Mechanical Engineer
B.Sc,Physics,Leadership,74.1,No,Student (Unemployed)
MBA,Business Administration,"Accounting Skills, Business Knowledge, Product Knowledge, Sales",60,No,Marketing Manager
B.Tech,Computer Science Engineering,Programming Language skills;Critical Thinking;Artistic/Creative Skills;Analytical Skills;Machine Learning skills;Python;SQL;Java,68.4,No,Data Scientist 
B.Tech,Communication & Political Science,"Team work, Excel, Designing Skills",66.5,Yes,Graduate Quality Engineer
B.Sc,Computers,Accounting Skills;Active Listening;Programming Language skills;Problem Solving skills;Designing skills;R;Python;SQL;HR;MATLAB,65,No,ERP IMPLEMENTATION
B.Com,cost and work accounting,"Team work, Excel, Writing",58 ,Yes,Data Analyst
BA,English ,People management;Leadership;Designing skills;Writing skills;Social Media Marketing,83,No,Teacher
B.Tech,Electronics and Communication Engineering,NO,78.85,No,Junior system engineer trainee
B.Tech,Mechanical Engineering,Programming Language skills;Analytical Skills;People management;Communication skills;Leadership;Problem Solving skills;Python;SQL;Java;Teaching,60,No,Customer operation associate
BE,Civil Engineering,"People Management, Observation Skills, Designing Skills",85,No,Structural engineer
BE,Mechanical Engineering,Analytical Skills;Communication skills;Product knowledge;Problem Solving skills;Risk management skills;Designing skills;Writing skills;Presentation Skills,74.1,Yes,Design Engineer
B.Tech,Automobile Engineering,"Work under Pressure, Leadership, Team work, Excel, Interpersonal Skills, Presentation Skills, Problem Solving skills, Mass Communication, Writing, Risk Managing, Reporting, Reading, Designing Skills",76.095,Yes,Student (Unemployed)
B.Tech,Computer Science Engineering,"c;JavaScript;Data Structure;CSS; jQuery ;Angular JS ;javaScript; hTML5 ;css3;
SSIS; ssms; python; react.js ;java Enterprise edition",67.45,Yes,Software Engineer
MCA,Computer Application ,Programming Language skills;Critical Thinking;Leadership,62,Yes,QA Analyst 
B.Tech,Computer Science Engineering,CSS;C++;JavaScript;MySQL;Java;SQL;Cascading Style Sheets (CSS);Website Development;jQuery;HTML5;Linux;AJAX;Software Development;XML;CakePHP;CodeIgniter;Laravel;Symfony;Symfony Framework;Git;Angular Command Line Interface (CLI);Yii2,76,Yes,Web Developer
BCA,Java,Communication skills;Writing skills;C++,86,No,Data entry
B.Sc,Physics,Gathering Information;Artistic/Creative Skills;Analytical Skills;Communication skills,68.4,No,Sales 
B.Tech,Electronics and Communication Engineering,"Python, SQL",74.1,Yes,Devops Engineer
B.Tech,Electronics and communication ,Gathering Information;Artistic/Creative Skills;Business Knowledge;Analytical Skills;Problem Solving skills;Writing skills;Presentation Skills;Good communication skills,68.21,Yes,Key Account Manager
B.Tech,Civil,"Proeficiency in Software like STAAD PRO, ETABS",79.42,Yes,Civil & Structural Engineer
B.Tech,Mechanical Engineering,"ML, Python, Analytic Thinking, Business Knowledge, Leadership, Team work, Excel, R, Problem Solving skills, Data science completed by using python and R",63.9,Yes,Mechanical Engineer
B.Tech,Engineering,"Critical Thinking, Analytic Thinking, Gathering Informing, Negotiation Skills, Work under Pressure, Team work, Excel, Logical Skills, Problem Solving skills",82.46,No,Student (Unemployed)
BE,Computer Science Engineering,Programming Language skills;Business Knowledge;Communication skills;Problem Solving skills,65,No,Associate Consultant
BE,Mechanical Engineering,Programming Language skills;Communication skills;SQL;Java,75.39,No,Trainee
B.Tech,History,"Java, Programming",72.2,No,Java Developer
B.Tech,Electronics and Communication Engineering ,Programming Language skills;Critical Thinking;Communication skills;Problem Solving skills;Risk management skills;C++;Presentation Skills;Linux;Cloud Computing,76.095,Yes,Assistant System Engineer (TCS)
BBA,Physics,Civil & Criminal Law,66.5,No,Student (Unemployed)
BE,Automobile Engineering,Active Listening;Critical Thinking;Gathering Information;Artistic/Creative Skills;Business Knowledge;Analytical Skills;People management;Communication skills;Negotiation skills;Leadership;Problem Solving skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;Presentation Skills;Python,60,Yes,Sr. Executive in Data Management. 
B.E,Automobile Engineering,"Java, SQL, Programming, Communication Skills, Team work, Presentation Skills",77.615,No,Automation in java lang
B.E,Information Technology,"Writing, Reading",73.625,No,Mechanical Engineer
B.Tech,Electrical and Electronics Engineering,"ML, Python, Business Knowledge, Java, Linux, AWS",66.5,Yes,Back End Developer
B.Tech,Computer Science Engineering,PHP;Programming Language C;Javascript,83.6,Yes,Mobile Application Developer
B.Pharmacy,Zoology,Excel,73,Yes,Doctor
BE,Mechanical ,Accounting Skills;Active Listening;Hardware skills;Sales;Social Media Marketing;HR,59.09,No,Service Advisor 
BE,Mechanical Engineering,Critical Thinking;Communication skills;SAP ,75,Yes,Production Engineer
